Current Kubernetes Context: mps-mde-k8s-prd-canc-5
namespace : tvm
+------------------------------------------------+------------------------------------------------------------------------+--------------+---------+--------+
|                         Service (Release) name |                                                              Node type | Max replicas |  Memory |    CPU |
| ndr-dataenricher                          | {'Standard_D64s_v3': 2}                                               | 32           | 4Gi    | 1    |
| ndr-dataenricher-dr                       | {}                                                                    | {}           | 4Gi    | 1    |
| ndr-devicechangetracker                   | {'Standard_E48s_v3': 2, 'Standard_D32s_v3': 2}                        | 32           | 8Gi    | 2    |
| ndr-devicechangetracker-dr                | {}                                                                    | {}           | 8Gi    | 2    |
| ndr-devicediscovery                       | Standard_E48s_v3                                                      | 18           | 340Gi  | 40   |
| ndr-devicediscovery-dr                    | Standard_E48s_v3                                                      | {}           | 340Gi  | 40   |
| ndr-devicediscovery-v2                    | Standard_E48s_v3                                                      | 18           | 340Gi  | 40   |
| ndr-devicediscovery-v2-dr                 | Standard_E48s_v3                                                      | {}           | 340Gi  | 40   |
| ndr-devicefingerprintingprocessor         | Standard_D32s_v3                                                      | 50           | 104Gi  | 26   |
| ndr-devicefingerprintingprocessor-dr      | Standard_D32s_v3                                                      | {}           | 104Gi  | 26   |
| ndr-deviceinfopublisher                   | Standard_D32s_v3                                                      | 32           | 32Gi   | 8    |
| ndr-deviceinfopublisher-dr                | Standard_D32s_v3                                                      | {}           | 32Gi   | 8    |
| ndr-deviceinfosqlwriter                   | {'Standard_E48s_v3': 2}                                               | 40           | 4Gi    | 1    |
| ndr-deviceinfosqlwriter-dr                | {}                                                                    | {}           | 4Gi    | 1    |
| ndr-deviceprofilesprocessor               | {'Standard_E48s_v3': 6}                                               | 32           | 16Gi   | 4    |
| ndr-deviceprofilesprocessor-dr            | {}                                                                    | {}           | 16Gi   | 4    |
| ndr-deviceprofilesprocessor-ruleengine    | {'Standard_E48s_v3': 2}                                               | 32           | 16Gi   | 4    |
| ndr-deviceprofilesprocessor-ruleengine-dr | {}                                                                    | {}           | 16Gi   | 4    |
| ndr-devicescanner                         | Standard_D32s_v3                                                      | 32           | 12Gi   | 4    |
| ndr-devicescanner-dr                      | Standard_D32s_v3                                                      | {}           | 12Gi   | 4    |
| ndr-docchangeforwarder                    | {'Standard_E48s_v3': 2, 'Standard_D32s_v3': 4}                        | 32           | 8Gi    | 2    |
| ndr-docchangeforwarder-dr                 | {}                                                                    | {}           | 8Gi    | 2    |
| ndr-eventsexporter                        | {'Standard_E48s_v3': 4}                                               | 300          | 8Gi    | 4    |
| ndr-eventsexporter-dr                     | {}                                                                    | {}           | 8Gi    | 4    |
| ndr-profilesnapshotwriter                 | Standard_D32s_v3                                                      | 40           | 32Gi   | 8    |
| ndr-reactor                               | {'Standard_E48s_v3': 2}                                               | 32           | 4Gi    | 1    |
| ndr-reactor-dr                            | {}                                                                    | {}           | 4Gi    | 1    |
| ndr-ruleengine-apiexternal                | {'Standard_D32s_v3': 1, 'Standard_E48s_v3': 1}                        | 32           | 4Gi    | 2    |
